MG-silicon, at plant | Scenario: 2025, pessimistic, BAU
electricity, at MCFC CHP 250kW | Scenario: 2025, very optimistic, Renew
electricity, at MCFC CHP 250kW | Scenario: 2050, pessimistic, 440ppm
electricity, at MCFC CHP 250kW | Scenario: 2050, pessimistic, BAU
electricity, at MCFC CHP 250kW | Scenario: 2050, realistic-optimistic, 440ppm
electricity, at MCFC CHP 250kW | Scenario: 2050, very optimistic, 440ppm
electricity, at MCFC CHP 250kW | Scenario: 2050, very optimistic, Renew
electricity, at MCFC CHP 250kW | Scenario: Today
electricity, at MCFC CHP 250kW, from wood gas | Scenario: 2025, pessimistic, 440ppm
electricity, at MCFC CHP 250kW, from wood gas | Scenario: 2025, pessimistic, BAU
electricity, at MCFC CHP 250kW, from wood gas | Scenario: 2025, realistic-optimistic, 440ppm
electricity, at MCFC CHP 250kW, from wood gas | Scenario: 2025, very optimistic, 440ppm
electricity, at MCFC CHP 250kW, from wood gas | Scenario: 2025, very optimistic, Renew
electricity, at MCFC CHP 250kW, from wood gas | Scenario: 2050, pessimistic, 440ppm
electricity, at MCFC CHP 250kW, from wood gas | Scenario: 2050, pessimistic, BAU
electricity, at MCFC CHP 250kW, from wood gas | Scenario: 2050, realistic-optimistic, 440ppm
electricity, at MCFC CHP 250kW, from wood gas | Scenario: 2050, very optimistic, 440ppm
electricity, at MCFC CHP 250kW, from wood gas | Scenario: 2050, very optimistic, Renew
electricity, at SOFC, planar small, 1kW | Scenario: Today
electricity, at SOFC, planar, 1kW | Scenario: 2025, pessimistic, 440ppm
electricity, at SOFC, planar, 1kW | Scenario: 2025, pessimistic, BAU
electricity, at SOFC, planar, 1kW | Scenario: 2025, realistic-optimistic, 440ppm
electricity, at SOFC, planar, 1kW | Scenario: 2025, very optimistic, 440ppm
electricity, at SOFC, planar, 1kW | Scenario: 2025, very optimistic, Renew
electricity, at SOFC, planar, 1kW | Scenario: 2050, pessimistic, 440ppm
electricity, at SOFC, planar, 1kW | Scenario: 2050, pessimistic, BAU
electricity, at SOFC, planar, 1kW | Scenario: 2050, realistic-optimistic, 440ppm
electricity, at SOFC, planar, 1kW | Scenario: 2050, very optimistic, 440ppm
electricity, at SOFC, planar, 1kW | Scenario: 2050, very optimistic, Renew
electricity, at SOFC, tubular CHP with woodgas, hybrid, 1000kW | Scenario: 2050, very optimistic, 440ppm
electricity, at SOFC, tubular CHP with woodgas, hybrid, 1000kW | Scenario: 2050, very optimistic, Renew
electricity, at SOFC, tubular CHP, 250kW | Scenario: Today
electricity, at SOFC, tubular CHP, hybrid, 1000kW | Scenario: 2050, realistic-optimistic, 440ppm
electricity, at SOFC, tubular CHP, hybrid, 1000kW | Scenario: 2050, very optimistic, 440ppm
electricity, at SOFC, tubular CHP, hybrid, 1000kW | Scenario: 2050, very optimistic, Renew
electricity, at SOFC, tubular CHP, hybrid, 300kW | Scenario: 2025, pessimistic, 440ppm
electricity, at SOFC, tubular CHP, hybrid, 300kW | Scenario: 2025, pessimistic, BAU
