Process Name,Product Flow,Unit,Carbon Footprint (kg CO2 eq),Status
"Electricity Mix, consumption mix, at consumer, AC, 1kV - 60kV",electricity mix,MJ,0.0075786973288351,Success
"Electricity Mix, consumption mix, at consumer, AC, 1kV - 60kV",electricity mix,MJ,0.0075786973288351,Success
"Electricity Mix, consumption mix, at consumer, AC, 1kV - 60kV",electricity mix,MJ,0.0075786973288351,Success
"Electricity Mix, consumption mix, at consumer, AC, 1kV - 60kV",electricity mix,MJ,0.0075786973288351,Success
"Electricity Mix, consumption mix, at consumer, AC, 1kV - 60kV",electricity mix,MJ,0.0075786973288351,Success
"Electricity Mix, consumption mix, at consumer, AC, 1kV - 60kV",electricity mix,MJ,0.0075786973288351,Success
"Electricity Mix, consumption mix, at consumer, AC, 1kV - 60kV",electricity mix,MJ,0.0075786973288351,Success
"Electricity Mix, consumption mix, at consumer, AC, 1kV - 60kV",electricity mix,MJ,0.0075786973288351,Success
"Electricity Mix, consumption mix, at consumer, AC, 1kV - 60kV",electricity mix,MJ,0.0075786973288351,Success
"Electricity Mix, consumption mix, at consumer, AC, 1kV - 60kV",electricity mix,MJ,0.0075786973288351,Success
"Electricity Mix, consumption mix, at consumer, AC, 1kV - 60kV",electricity mix,MJ,0.0075786973288351,Success
"Electricity Mix, consumption mix, at consumer, AC, 1kV - 60kV",electricity mix,MJ,0.0075786973288351,Success
"Electricity Mix, consumption mix, at consumer, AC, 1kV - 60kV",electricity mix,MJ,0.0075786973288351,Success
"Electricity Mix, consumption mix, at consumer, AC, 1kV - 60kV",electricity mix,MJ,0.0075786973288351,Success
"Electricity Mix, consumption mix, at consumer, AC, 1kV - 60kV",electricity mix,MJ,0.0075786973288351,Success
"Electricity Mix, consumption mix, at consumer, AC, 1kV - 60kV",electricity mix,MJ,0.0075786973288351,Success
"Electricity Mix, consumption mix, at consumer, AC, 1kV - 60kV",electricity mix,MJ,0.0075786973288351,Success
"Electricity Mix, consumption mix, at consumer, AC, 1kV - 60kV",electricity mix,MJ,0.0075786973288351,Success
"Electricity Mix, consumption mix, at consumer, AC, 1kV - 60kV",electricity mix,MJ,0.0075786973288351,Success
"Electricity Mix, consumption mix, at consumer, AC, 1kV - 60kV",electricity mix,MJ,0.0075786973288351,Success
"Electricity Mix, consumption mix, at consumer, AC, 1kV - 60kV",electricity mix,MJ,0.0075786973288351,Success
"Electricity Mix, consumption mix, at consumer, AC, 1kV - 60kV",electricity mix,MJ,0.0075786973288351,Success
"Electricity Mix, consumption mix, at consumer, AC, 1kV - 60kV",electricity mix,MJ,0.0075786973288351,Success
"Electricity Mix, consumption mix, at consumer, AC, 1kV - 60kV",electricity mix,MJ,0.0075786973288351,Success
"Electricity Mix, consumption mix, at consumer, AC, 220V",electricity mix,MJ,0.0499834321170782,Success
"Electricity Mix, consumption mix, at consumer, AC, 220V",electricity mix,MJ,0.0499834321170782,Success
