Process Name,Product Flow,Unit,Carbon Footprint (kg CO2 eq),Status
"copper, primary, at refinery | Scenario: Today","copper, primary, at refinery",kg,2.8100589718728664,Success
"dismantling, hard coal IGCC power plant 450MW | Scenario: Today | U","dismantling, hard coal IGCC power plant 450MW",Item(s),0.0,Success
"electricity mix, aluminium industry | Scenario: 2025, pessimistic, 440ppm","electricity mix, aluminium industry",kWh,0.33562355596938975,Success
"electricity mix, aluminium industry | Scenario: 2025, pessimistic, BAU","electricity mix, aluminium industry",kWh,0.33694420792722396,Success
"electricity mix, aluminium industry | Scenario: 2025, realistic-optimistic, 440ppm","electricity mix, aluminium industry",kWh,0.42776364488888297,Success
"electricity mix, aluminium industry | Scenario: 2025, very optimistic, 440ppm","electricity mix, aluminium industry",kWh,0.3950788956564358,Success
"electricity mix, aluminium industry | Scenario: 2025, very optimistic, Renew","electricity mix, aluminium industry",kWh,0.3947879744674228,Success
"electricity mix, aluminium industry | Scenario: 2050, pessimistic, 440ppm","electricity mix, aluminium industry",kWh,0.33354239322923346,Success
"electricity mix, aluminium industry | Scenario: 2050, pessimistic, BAU","electricity mix, aluminium industry",kWh,0.3369007759845939,Success
"electricity mix, aluminium industry | Scenario: 2050, realistic-optimistic, 440ppm","electricity mix, aluminium industry",kWh,0.4128984707070848,Success
"electricity mix, aluminium industry | Scenario: 2050, very optimistic, 440ppm","electricity mix, aluminium industry",kWh,0.36961175287406367,Success
"electricity mix, aluminium industry | Scenario: 2050, very optimistic, Renew","electricity mix, aluminium industry",kWh,0.36998661990088916,Success
"electricity mix, aluminium industry | Scenario: Today","electricity mix, aluminium industry",kWh,0.33803774443889156,Success
"electricity, Fresnel CHP for cooling, with PCM-storage, at power plant, 200MW | Scenario: 2025, very optimistic, 440ppm","electricity, Fresnel CHP for cooling, with PCM-storage, at power plant, 200MW",kWh,0.018343828552059085,Success
"electricity, Fresnel CHP for cooling, with PCM-storage, at power plant, 200MW | Scenario: 2025, very optimistic, Renew","electricity, Fresnel CHP for cooling, with PCM-storage, at power plant, 200MW",kWh,0.018269739190351426,Success
"electricity, Fresnel CHP for desalination, at power plant, with PCM-stor., 200MW | Scenario: 2025, very optimistic, 440ppm","electricity, Fresnel CHP for desalination, at power plant, with PCM-stor., 200MW",kWh,0.019498635515688263,Success
"electricity, Fresnel CHP for desalination, at power plant, with PCM-stor., 200MW | Scenario: 2025, very optimistic, Renew","electricity, Fresnel CHP for desalination, at power plant, with PCM-stor., 200MW",kWh,0.019419889389328204,Success
"electricity, Fresnel, at power plant, with PCM-storage, 400MW | Scenario: 2050, realistic-optimistic, 440ppm","electricity, Fresnel, at power plant, with PCM-storage, 400MW",kWh,0.019279252803710015,Success
"electricity, Fresnel, with PCM-storage, at power plant, 200MW | Scenario: 2025, realistic-optimistic, 440ppm","electricity, Fresnel, with PCM-storage, at power plant, 200MW",kWh,0.034810248069224725,Success
"electricity, at Fresnel CHP (for cooling), at plant, with PCM-storage, 400MW | Scenario: 2050, very optimistic, 440ppm","electricity, at Fresnel CHP (for cooling), at plant, with PCM-storage, 400MW",kWh,0.01420553052585015,Success
"electricity, at Fresnel CHP (for cooling), at plant, with PCM-storage, 400MW | Scenario: 2050, very optimistic, Renew","electricity, at Fresnel CHP (for cooling), at plant, with PCM-storage, 400MW",kWh,0.014286209346562039,Success
"electricity, at Fresnel CHP (for desalination), at plant,with PCM-storage, 400MW | Scenario: 2050, very optimistic, 440ppm","electricity, at Fresnel CHP (for desalination), at plant,with PCM-storage, 400MW",kWh,0.01509987369906583,Success
"electricity, at Fresnel CHP (for desalination), at plant,with PCM-storage, 400MW | Scenario: 2050, very optimistic, Renew","electricity, at Fresnel CHP (for desalination), at plant,with PCM-storage, 400MW",kWh,0.015185585436768767,Success
"electricity, at MCFC CHP 2000kW | Scenario: 2025, pessimistic, 440ppm","electricity, at MCFC CHP 2000kW",kWh,0.45331000221412787,Success
"electricity, at MCFC CHP 2000kW | Scenario: 2025, pessimistic, BAU","electricity, at MCFC CHP 2000kW",kWh,0.455920683869004,Success
"electricity, at MCFC CHP 2000kW | Scenario: 2025, realistic-optimistic, 440ppm","electricity, at MCFC CHP 2000kW",kWh,0.4459124044990569,Success
"electricity, at MCFC CHP 2000kW | Scenario: 2025, very optimistic, 440ppm","electricity, at MCFC CHP 2000kW",kWh,0.43778708447354603,Success
"electricity, at MCFC CHP 2000kW | Scenario: 2025, very optimistic, Renew","electricity, at MCFC CHP 2000kW",kWh,0.43731152973781373,Success
"electricity, at MCFC CHP 2000kW | Scenario: 2050, pessimistic, 440ppm","electricity, at MCFC CHP 2000kW",kWh,0.449179593251847,Success
"electricity, at MCFC CHP 2000kW | Scenario: 2050, pessimistic, BAU","electricity, at MCFC CHP 2000kW",kWh,0.4558373034349996,Success
"electricity, at MCFC CHP 2000kW | Scenario: 2050, realistic-optimistic, 440ppm","electricity, at MCFC CHP 2000kW",kWh,0.4302378197179196,Success
"electricity, at MCFC CHP 2000kW | Scenario: 2050, very optimistic, 440ppm","electricity, at MCFC CHP 2000kW",kWh,0.3974391343261805,Success
"electricity, at MCFC CHP 2000kW | Scenario: 2050, very optimistic, Renew","electricity, at MCFC CHP 2000kW",kWh,0.3980525837082658,Success
"electricity, at MCFC CHP 250kW | Scenario: 2025, pessimistic, 440ppm","electricity, at MCFC CHP 250kW",kWh,0.4716513059625237,Success
"electricity, at MCFC CHP 250kW | Scenario: 2025, pessimistic, BAU","electricity, at MCFC CHP 250kW",kWh,0.47239049020633805,Success
"electricity, at MCFC CHP 250kW | Scenario: 2025, realistic-optimistic, 440ppm","electricity, at MCFC CHP 250kW",kWh,0.46435002150377863,Success
"electricity, at MCFC CHP 250kW | Scenario: 2025, very optimistic, 440ppm","electricity, at MCFC CHP 250kW",kWh,0.4569096898677852,Success
"electricity, at MCFC CHP 250kW | Scenario: 2025, very optimistic, Renew","electricity, at MCFC CHP 250kW",kWh,0.45677449746420523,Success
"electricity, at MCFC CHP 250kW | Scenario: 2050, pessimistic, 440ppm","electricity, at MCFC CHP 250kW",kWh,0.47051228852066695,Success
"electricity, at MCFC CHP 250kW | Scenario: 2050, pessimistic, BAU","electricity, at MCFC CHP 250kW",kWh,0.47236182463210075,Success
"electricity, at MCFC CHP 250kW | Scenario: 2050, realistic-optimistic, 440ppm","electricity, at MCFC CHP 250kW",kWh,0.45123045195351147,Success
"electricity, at MCFC CHP 250kW | Scenario: 2050, very optimistic, 440ppm","electricity, at MCFC CHP 250kW",kWh,0.43339887525899834,Success
"electricity, at MCFC CHP 250kW | Scenario: 2050, very optimistic, Renew","electricity, at MCFC CHP 250kW",kWh,0.4335732274249944,Success
"electricity, at MCFC CHP 250kW | Scenario: Today","electricity, at MCFC CHP 250kW",kWh,0.5034932331986438,Success
"electricity, at MCFC CHP 250kW, from wood gas | Scenario: 2025, pessimistic, 440ppm","electricity, at MCFC CHP 250kW, from wood gas",kWh,0.0652549471589339,Success
"electricity, at MCFC CHP 250kW, from wood gas | Scenario: 2025, pessimistic, BAU","electricity, at MCFC CHP 250kW, from wood gas",kWh,0.07871560306105352,Success
"electricity, at MCFC CHP 250kW, from wood gas | Scenario: 2025, realistic-optimistic, 440ppm","electricity, at MCFC CHP 250kW, from wood gas",kWh,0.06357922576918898,Success
"electricity, at MCFC CHP 250kW, from wood gas | Scenario: 2025, very optimistic, 440ppm","electricity, at MCFC CHP 250kW, from wood gas",kWh,0.05691386287496869,Success
"electricity, at MCFC CHP 250kW, from wood gas | Scenario: 2025, very optimistic, Renew","electricity, at MCFC CHP 250kW, from wood gas",kWh,0.05478238923213924,Success
"electricity, at MCFC CHP 250kW, from wood gas | Scenario: 2050, pessimistic, 440ppm","electricity, at MCFC CHP 250kW, from wood gas",kWh,0.04140103242942693,Success
"electricity, at MCFC CHP 250kW, from wood gas | Scenario: 2050, pessimistic, BAU","electricity, at MCFC CHP 250kW, from wood gas",kWh,0.07081978644831441,Success
"electricity, at MCFC CHP 250kW, from wood gas | Scenario: 2050, realistic-optimistic, 440ppm","electricity, at MCFC CHP 250kW, from wood gas",kWh,0.039532522089852244,Success
"electricity, at MCFC CHP 250kW, from wood gas | Scenario: 2050, very optimistic, 440ppm","electricity, at MCFC CHP 250kW, from wood gas",kWh,0.03686159798796662,Success
"electricity, at MCFC CHP 250kW, from wood gas | Scenario: 2050, very optimistic, Renew","electricity, at MCFC CHP 250kW, from wood gas",kWh,0.03967621243266646,Success
"electricity, at SOFC, planar small, 1kW | Scenario: Today","electricity, at SOFC, planar small, 1kW",kWh,0.8034094842115371,Success
"electricity, at SOFC, planar, 1kW | Scenario: 2025, pessimistic, 440ppm","electricity, at SOFC, planar, 1kW",kWh,0.7267749443334183,Success
"electricity, at SOFC, planar, 1kW | Scenario: 2025, pessimistic, BAU","electricity, at SOFC, planar, 1kW",kWh,0.7279615713213016,Success
"electricity, at SOFC, planar, 1kW | Scenario: 2025, realistic-optimistic, 440ppm","electricity, at SOFC, planar, 1kW",kWh,0.7155504819441794,Success
"electricity, at SOFC, planar, 1kW | Scenario: 2025, very optimistic, 440ppm","electricity, at SOFC, planar, 1kW",kWh,0.704071529993211,Success
"electricity, at SOFC, planar, 1kW | Scenario: 2025, very optimistic, Renew","electricity, at SOFC, planar, 1kW",kWh,0.7038492802672973,Success
"electricity, at SOFC, planar, 1kW | Scenario: 2050, pessimistic, 440ppm","electricity, at SOFC, planar, 1kW",kWh,0.7249347651817798,Success
"electricity, at SOFC, planar, 1kW | Scenario: 2050, pessimistic, BAU","electricity, at SOFC, planar, 1kW",kWh,0.7279178873179617,Success
"electricity, at SOFC, planar, 1kW | Scenario: 2050, realistic-optimistic, 440ppm","electricity, at SOFC, planar, 1kW",kWh,0.694983315718094,Success
"electricity, at SOFC, planar, 1kW | Scenario: 2050, very optimistic, 440ppm","electricity, at SOFC, planar, 1kW",kWh,0.643989112227401,Success
"electricity, at SOFC, planar, 1kW | Scenario: 2050, very optimistic, Renew","electricity, at SOFC, planar, 1kW",kWh,0.6442629921565145,Success
"electricity, at SOFC, tubular CHP with woodgas, hybrid, 1000kW | Scenario: 2050, very optimistic, 440ppm","electricity, at SOFC, tubular CHP with woodgas, hybrid, 1000kW",kWh,0.03227636924576655,Success
"electricity, at SOFC, tubular CHP with woodgas, hybrid, 1000kW | Scenario: 2050, very optimistic, Renew","electricity, at SOFC, tubular CHP with woodgas, hybrid, 1000kW",kWh,0.03448883066001789,Success
"electricity, at SOFC, tubular CHP, 250kW | Scenario: Today","electricity, at SOFC, tubular CHP, 250kW",kWh,0.5224949236992983,Success
"electricity, at SOFC, tubular CHP, hybrid, 1000kW | Scenario: 2050, realistic-optimistic, 440ppm","electricity, at SOFC, tubular CHP, hybrid, 1000kW",kWh,0.03318962667745538,Success
"electricity, at SOFC, tubular CHP, hybrid, 1000kW | Scenario: 2050, very optimistic, 440ppm","electricity, at SOFC, tubular CHP, hybrid, 1000kW",kWh,0.34449775782349956,Success
"electricity, at SOFC, tubular CHP, hybrid, 1000kW | Scenario: 2050, very optimistic, Renew","electricity, at SOFC, tubular CHP, hybrid, 1000kW",kWh,0.34457592893346434,Success
"electricity, at SOFC, tubular CHP, hybrid, 300kW | Scenario: 2025, pessimistic, 440ppm","electricity, at SOFC, tubular CHP, hybrid, 300kW",kWh,0.4344554609672844,Success
"electricity, at SOFC, tubular CHP, hybrid, 300kW | Scenario: 2025, pessimistic, BAU","electricity, at SOFC, tubular CHP, hybrid, 300kW",kWh,0.4348434678060615,Success
"electricity, at SOFC, tubular CHP, hybrid, 300kW | Scenario: 2025, realistic-optimistic, 440ppm","electricity, at SOFC, tubular CHP, hybrid, 300kW",kWh,0.42775761075477575,Success
"electricity, at SOFC, tubular CHP, hybrid, 300kW | Scenario: 2025, very optimistic, 440ppm","electricity, at SOFC, tubular CHP, hybrid, 300kW",kWh,0.4210324453054885,Success
"electricity, at SOFC, tubular CHP, hybrid, 300kW | Scenario: 2025, very optimistic, Renew","electricity, at SOFC, tubular CHP, hybrid, 300kW",kWh,0.42096020984342697,Success
"electricity, at SOFC, tubular CHP, hybrid, 300kW | Scenario: 2050, pessimistic, 440ppm","electricity, at SOFC, tubular CHP, hybrid, 300kW",kWh,0.4338797191483058,Success
"electricity, at SOFC, tubular CHP, hybrid, 300kW | Scenario: 2050, pessimistic, BAU","electricity, at SOFC, tubular CHP, hybrid, 300kW",kWh,0.4348244006935179,Success
"electricity, at SOFC, tubular CHP, hybrid, 300kW | Scenario: 2050, realistic-optimistic, 440ppm","electricity, at SOFC, tubular CHP, hybrid, 300kW",kWh,0.41645853606111455,Success
